OBJECTID_1,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,LINC_Region,ShapeSTArea,ShapeSTLength
1,13,173,13173,Lanier,Lanier County,10078,N,N,N,N,N,N,N,Southern Georgia,127874,199.80299377,LANIER,{7D637994-1D29-4646-A85C-439C1A06EA0E},11,5570179458.71969,407122.504848995
2,13,029,13029,Bryan,Bryan County,30233,N,N,N,N,N,N,N,Coastal Regional Commission,291269,455.10800171,BRYAN,{AB662CC0-3C43-4DFC-A03B-ED6CA5322980},12,12687699691.1463,915848.749662234
3,13,001,13001,Appling,Appling County,18236,N,N,N,N,N,N,N,Heart of Georgia Altamaha,328037,512.5579834,APPLING,{DE5A63BB-4A0F-47A0-8306-85F49CF71F18},9,14289311300.878,692363.507348798
4,13,241,13241,Rabun,Rabun County,16276,N,N,N,N,N,N,N,Georgia Mountains,241186,376.85400391,RABUN,{9D3BC405-11BB-4510-85AB-C97A8ADC6B07},2,10506079754.4089,604880.789540282
5,13,023,13023,Bleckley,Bleckley County,13063,N,N,N,N,N,N,N,Heart of Georgia Altamaha,140237,219.1210022,BLECKLEY,{7667A96C-97FB-49CF-928D-C58C7E4156D7},9,6108732241.01792,373807.328693532
6,13,113,13113,Fayette,Fayette County,106567,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,127543,199.28599548,FAYETTE,{0089049C-AF9E-48C9-83D8-75FE86DFE045},3,5555769751.79181,378622.013406301
7,13,163,13163,Jefferson,Jefferson County,16930,N,N,N,N,N,N,N,Central Savannah River Area,339141,529.90802002,JEFFERSON,{BE814DFF-62AC-4909-8B25-C2638D21012D},7,14772993122.7754,627890.21956763
8,13,253,13253,Seminole,Seminole County,8729,N,N,N,N,N,N,N,Southwest Georgia,164181,256.53201294,SEMINOLE,{D227238E-663F-4D59-A9D0-179A2579919C},10,7151715747.76784,435743.522042015
9,13,039,13039,Camden,Camden County,50513,N,N,N,N,N,N,N,Coastal Regional Commission,501015,782.8369751,CAMDEN,{555DA342-487B-4B0D-B256-5CC3469005F0},12,21824241838.7375,835394.842601724
10,13,127,13127,Glynn,Glynn County,79626,N,N,N,N,N,N,N,Coastal Regional Commission,375084,586.06799316,GLYNN,{6208F96C-ED25-40A7-A0AD-E5B058E9F826},12,16338649813.014,706378.604021983
11,13,233,13233,Polk,Polk County,41475,N,N,N,N,N,N,N,Northwest Georgia,199774,312.14700317,POLK,{750B0C1D-5CE0-47F6-8605-ADFE1B0E676B},1,8702152244.00292,438247.490149517
12,13,211,13211,Morgan,Morgan County,17868,N,N,N,N,Y,N,N,Northeast Georgia,226933,354.58300781,MORGAN,{77264900-C504-4F22-BA88-409240758961},5,9885217074.75623,450976.477787253
13,13,263,13263,Talbot,Talbot County,6865,N,N,N,N,N,N,N,River Valley,252604,394.69400024,TALBOT,{3389D449-5ABA-4E65-A632-2E0E1FDB6EA4},8,11003435277.1936,554457.724084519
